year,target,source,rule,source_label
2000,ICTRES,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ICTAVSCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ST255Q01JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ST296Q04JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ST322Q02JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,SKIPPING,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,TARDYSD,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,EXERPRAC,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,BSMJ,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,SISCO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,PERSEV,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,CURIO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ENPROBS,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,COGABIL,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,GOALSET,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,SELFREG,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,DIGINTLRN,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,INTICT,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,FEELSAFE,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,TEACHSUP_2022,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,TEACHSUP_2025,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,DISCLISCI,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,JOYSCIE,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,EFFSCIE,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ANXMAT,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ST273Q06JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2000,ST097Q06DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,pisa_year,constant,Ciclo,
2003,fila_origen,row,Fila base cero en el extracto histórico del ciclo; ver fuentes.json,
2003,CNTSCHID,SCHOOLID,ID solo dentro del ciclo,School ID
2003,W_FSTUWT,W_FSTUWT,Peso general; en 2000 usar peso específico por materia, Student final weight
2003,math_exploracion,"PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH",Media de todos los PV; nula si falta alguno; no es nota individual,
2003,numero_pv_math,"PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH","Número de PV por diseño, no número de respuestas",
2003,peso_math,W_FSTUWT,Peso del archivo de la materia en 2000; peso final en el resto, Student final weight
2003,read_exploracion,"PV1READ,PV2READ,PV3READ,PV4READ,PV5READ",Media de todos los PV; nula si falta alguno; no es nota individual,
2003,numero_pv_read,"PV1READ,PV2READ,PV3READ,PV4READ,PV5READ","Número de PV por diseño, no número de respuestas",
2003,peso_read,W_FSTUWT,Peso del archivo de la materia en 2000; peso final en el resto, Student final weight
2003,scie_exploracion,"PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE",Media de todos los PV; nula si falta alguno; no es nota individual,
2003,numero_pv_scie,"PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE","Número de PV por diseño, no número de respuestas",
2003,peso_scie,W_FSTUWT,Peso del archivo de la materia en 2000; peso final en el resto, Student final weight
2003,AGE,AGE,Edad en años; en 2000 meses / 12,Age of student
2003,ESCS,ESCS,"Mismo constructo, índice original NO reescalado entre ciclos",Index of Socio-Economic and Cultural Status
2003,HISEI,HISEI,"Mismo constructo, índice original NO reescalado entre ciclos",Highest parental occupational status
2003,HOMEPOS,HOMEPOS,"Mismo constructo, índice original NO reescalado entre ciclos",Index of home possessions (WLE)
2003,GRADE,GRADE,"Mismo constructo, índice original NO reescalado entre ciclos",Grade compared to modal grade in country
2003,BELONG,BELONG,"Mismo constructo, índice original NO reescalado entre ciclos",Sense of belonging to school (WLE)
2003,BSMJ,BSMJ,"Mismo constructo, índice original NO reescalado entre ciclos",ISCO code Student
2003,ANXMAT,ANXMAT,"Mismo constructo, índice original NO reescalado entre ciclos",Mathematics anxiety (WLE)
2003,sexo,ST03Q01,1 femenino / 2 masculino; No varón no tiene idéntica definición en 2025,Sex Q3
2003,origen,IMMIG,Clasificación migratoria; nulos preservados,Country of birth
2003,educacion_familiar,HISCED,"ISCED anterior: 0–2 bajo, 3–4 medio, 5–6 terciario; no comparar códigos con 2022/2025",Highest educational level of parents
2003,PAREDINT,PARED,Años de educación parental; escalas de equivalencia pueden cambiar,Highest parental education in years of schooling
2003,nivel_socioeconomico,"ESCS,W_FSTUWT",Cuartiles ponderados dentro del ciclo; no renta ni puntos de corte fijos,
2003,aviso_ciclo,methodology,Advertencia visible,
2003,region,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,sector,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,repeticion,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,FAMSUP,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,BULLIED,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ST016Q01NA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,recursos_hogar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,posesiones_hogar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,apoyo_familiar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ST438Q01DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ST438Q02DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ST438Q03DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ST438Q04DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,IC170Q10DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,IC171Q10DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ST436Q16DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,IC182Q05DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,AIUSESCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTSCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTHOME,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTQUAL,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTFEED,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTOUT,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTWKDY,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTWKEND,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTREG,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTINFO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTDISTR,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTRES,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ICTAVSCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ST255Q01JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ST296Q04JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ST322Q02JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,SKIPPING,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,TARDYSD,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,EXERPRAC,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,BSMJ,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,SISCO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,PERSEV,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,CURIO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ENPROBS,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,COGABIL,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,GOALSET,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,SELFREG,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,DIGINTLRN,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,INTICT,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,FEELSAFE,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,TEACHSUP_2022,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,TEACHSUP_2025,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,DISCLISCI,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,JOYSCIE,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,EFFSCIE,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ST273Q06JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2003,ST097Q06DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,pisa_year,constant,Ciclo,
2006,fila_origen,row,Fila base cero en el extracto histórico del ciclo; ver fuentes.json,
2006,CNTSCHID,SCHOOLID,ID solo dentro del ciclo,School ID 5-digit
2006,W_FSTUWT,W_FSTUWT,Peso general; en 2000 usar peso específico por materia,FINAL STUDENT WEIGHT
2006,math_exploracion,"PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH",Media de todos los PV; nula si falta alguno; no es nota individual,
2006,numero_pv_math,"PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH","Número de PV por diseño, no número de respuestas",
2006,peso_math,W_FSTUWT,Peso del archivo de la materia en 2000; peso final en el resto,FINAL STUDENT WEIGHT
2006,read_exploracion,"PV1READ,PV2READ,PV3READ,PV4READ,PV5READ",Media de todos los PV; nula si falta alguno; no es nota individual,
2006,numero_pv_read,"PV1READ,PV2READ,PV3READ,PV4READ,PV5READ","Número de PV por diseño, no número de respuestas",
2006,peso_read,W_FSTUWT,Peso del archivo de la materia en 2000; peso final en el resto,FINAL STUDENT WEIGHT
2006,scie_exploracion,"PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE",Media de todos los PV; nula si falta alguno; no es nota individual,
2006,numero_pv_scie,"PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE","Número de PV por diseño, no número de respuestas",
2006,peso_scie,W_FSTUWT,Peso del archivo de la materia en 2000; peso final en el resto,FINAL STUDENT WEIGHT
2006,AGE,AGE,Edad en años; en 2000 meses / 12,Age of student
2006,ESCS,ESCS,"Mismo constructo, índice original NO reescalado entre ciclos","Index of economic, social and cultural status PISA 2006 "
2006,HISEI,HISEI,"Mismo constructo, índice original NO reescalado entre ciclos",Highest parental occupational status (SEI)
2006,HOMEPOS,HOMEPOS,"Mismo constructo, índice original NO reescalado entre ciclos",Index of home possessions PISA 2006 (WLE)
2006,BSMJ,BSMJ,"Mismo constructo, índice original NO reescalado entre ciclos",Occupational status Self (SEI)
2006,sexo,ST04Q01,1 femenino / 2 masculino; No varón no tiene idéntica definición en 2025,Gender Q4
2006,origen,IMMIG,Clasificación migratoria; nulos preservados,Immigration status
2006,educacion_familiar,HISCED,"ISCED anterior: 0–2 bajo, 3–4 medio, 5–6 terciario; no comparar códigos con 2022/2025",Highest educational level of parents (ISCED)
2006,PAREDINT,PARED,Años de educación parental; escalas de equivalencia pueden cambiar,Highest parental education in years
2006,nivel_socioeconomico,"ESCS,W_FSTUWT",Cuartiles ponderados dentro del ciclo; no renta ni puntos de corte fijos,
2006,aviso_ciclo,methodology,Advertencia visible,
2006,region,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,sector,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,GRADE,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,repeticion,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,FAMSUP,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,BELONG,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,BULLIED,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ST016Q01NA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,recursos_hogar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,posesiones_hogar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,apoyo_familiar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ST438Q01DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ST438Q02DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ST438Q03DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ST438Q04DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,IC170Q10DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,IC171Q10DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ST436Q16DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,IC182Q05DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,AIUSESCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTSCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTHOME,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTQUAL,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTFEED,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTOUT,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTWKDY,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTWKEND,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTREG,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTINFO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTDISTR,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTRES,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ICTAVSCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ST255Q01JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ST296Q04JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ST322Q02JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,SKIPPING,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,TARDYSD,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,EXERPRAC,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,SISCO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,PERSEV,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,CURIO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ENPROBS,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,COGABIL,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,GOALSET,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,SELFREG,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,DIGINTLRN,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,INTICT,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,FEELSAFE,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,TEACHSUP_2022,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,TEACHSUP_2025,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,DISCLISCI,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,JOYSCIE,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,EFFSCIE,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ANXMAT,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ST273Q06JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2006,ST097Q06DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,pisa_year,constant,Ciclo,
2009,fila_origen,row,Fila base cero en el extracto histórico del ciclo; ver fuentes.json,
2009,CNTSCHID,SCHOOLID,ID solo dentro del ciclo,School ID 5-digit
2009,W_FSTUWT,W_FSTUWT,Peso general; en 2000 usar peso específico por materia,FINAL STUDENT WEIGHT
2009,math_exploracion,"PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH",Media de todos los PV; nula si falta alguno; no es nota individual,
2009,numero_pv_math,"PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH","Número de PV por diseño, no número de respuestas",
2009,peso_math,W_FSTUWT,Peso del archivo de la materia en 2000; peso final en el resto,FINAL STUDENT WEIGHT
2009,read_exploracion,"PV1READ,PV2READ,PV3READ,PV4READ,PV5READ",Media de todos los PV; nula si falta alguno; no es nota individual,
2009,numero_pv_read,"PV1READ,PV2READ,PV3READ,PV4READ,PV5READ","Número de PV por diseño, no número de respuestas",
2009,peso_read,W_FSTUWT,Peso del archivo de la materia en 2000; peso final en el resto,FINAL STUDENT WEIGHT
2009,scie_exploracion,"PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE",Media de todos los PV; nula si falta alguno; no es nota individual,
2009,numero_pv_scie,"PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE","Número de PV por diseño, no número de respuestas",
2009,peso_scie,W_FSTUWT,Peso del archivo de la materia en 2000; peso final en el resto,FINAL STUDENT WEIGHT
2009,AGE,AGE,Edad en años; en 2000 meses / 12,Age of student
2009,ESCS,ESCS,"Mismo constructo, índice original NO reescalado entre ciclos","Index of economic, social and cultural status (WLE)"
2009,HISEI,HISEI,"Mismo constructo, índice original NO reescalado entre ciclos",Highest parental occupational status
2009,HOMEPOS,HOMEPOS,"Mismo constructo, índice original NO reescalado entre ciclos",Home Possessions
2009,GRADE,GRADE,"Mismo constructo, índice original NO reescalado entre ciclos",Grade compared to modal grade in country
2009,ICTRES,ICTRES,"Mismo constructo, índice original NO reescalado entre ciclos",ICT resources
2009,sexo,ST04Q01,1 femenino / 2 masculino; No varón no tiene idéntica definición en 2025,Sex
2009,origen,IMMIG,Clasificación migratoria; nulos preservados,Immigration status
2009,educacion_familiar,HISCED,"ISCED anterior: 0–2 bajo, 3–4 medio, 5–6 terciario; no comparar códigos con 2022/2025",Highest educational level of parents
2009,PAREDINT,PARED,Años de educación parental; escalas de equivalencia pueden cambiar,Highest parental education in years
2009,nivel_socioeconomico,"ESCS,W_FSTUWT",Cuartiles ponderados dentro del ciclo; no renta ni puntos de corte fijos,
2009,aviso_ciclo,methodology,Advertencia visible,
2009,region,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,sector,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,repeticion,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,FAMSUP,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,BELONG,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,BULLIED,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ST016Q01NA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,recursos_hogar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,posesiones_hogar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,apoyo_familiar,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ST438Q01DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ST438Q02DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ST438Q03DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ST438Q04DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,IC170Q10DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,IC171Q10DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ST436Q16DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,IC182Q05DA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,AIUSESCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ICTSCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ICTHOME,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ICTQUAL,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ICTFEED,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ICTOUT,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ICTWKDY,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ICTWKEND,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ICTREG,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ICTINFO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ICTDISTR,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ICTAVSCH,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ST255Q01JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ST296Q04JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,ST322Q02JA,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,SKIPPING,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,TARDYSD,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,EXERPRAC,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,BSMJ,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,SISCO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,PERSEV,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
2009,CURIO,,No integrado: ausente o correspondencia histórica no validada; NO equivale a cero,
